Number of Features,PCA (ANN) Accuracy,ICA (ANN) Accuracy,RFE (ANN) Accuracy,GRP (ANN) Accuracy,K-Means (ANN) Accuracy,EM (ANN) Accuracy
1,0.7462121212121212,0.6856060606060606,0.9444444444444444,0.5757575757575758,0.51010101010101,0.4898989898989899
2,0.8409090909090909,0.7449494949494949,0.9633838383838383,0.41035353535353536,0.35984848484848486,0.5138888888888888
3,0.8421717171717171,0.7929292929292929,0.9722222222222222,0.5618686868686869,0.3421717171717172,0.8497474747474747
4,0.8686868686868687,0.8737373737373737,0.9709595959595959,0.36742424242424243,0.2878787878787879,0.678030303030303
5,0.6843434343434344,0.5593434343434344,0.33207070707070707,0.5189393939393939,0.26515151515151514,0.8724747474747475
6,0.7032828282828283,0.8320707070707071,0.26262626262626265,0.40025252525252525,0.7045454545454546,0.8472222222222222
7,0.6805555555555556,0.8156565656565656,0.32702020202020204,0.42803030303030304,0.6287878787878788,0.6628787878787878
8,0.6742424242424242,0.6275252525252525,0.2967171717171717,0.22727272727272727,0.42045454545454547,0.6893939393939394
9,0.6136363636363636,0.5467171717171717,0.14772727272727273,0.5984848484848485,0.5707070707070707,0.6919191919191919
10,0.5934343434343434,0.43813131313131315,0.27904040404040403,0.5606060606060606,0.6590909090909091,0.6578282828282829
11,0.6275252525252525,0.63510101010101,0.9393939393939394,0.6540404040404041,0.48737373737373735,0.7159090909090909
12,0.6388888888888888,0.44823232323232326,0.9621212121212122,0.47095959595959597,0.4659090909090909,0.8598484848484849
13,0.6477272727272727,0.5189393939393939,0.5997474747474747,0.375,0.5568181818181818,0.6982323232323232
14,0.6313131313131313,0.8181818181818182,0.9267676767676768,0.35984848484848486,0.553030303030303,0.7348484848484849
15,0.6414141414141414,0.4734848484848485,0.5896464646464646,0.8005050505050505,0.3838383838383838,0.6590909090909091
16,0.6325757575757576,0.5391414141414141,0.9659090909090909,0.5517676767676768,0.35353535353535354,0.6742424242424242
17,0.6376262626262627,0.6477272727272727,0.9646464646464646,0.2601010101010101,0.5744949494949495,0.6931818181818182
18,0.6262626262626263,0.47095959595959597,0.9772727272727273,0.7828282828282829,0.42297979797979796,0.6679292929292929
19,0.6414141414141414,0.4166666666666667,0.976010101010101,0.6691919191919192,0.523989898989899,0.7083333333333334
