Cluster Type,Adjusted Rand Score,Adjusted Mutual Information Score,Fowlkes Mallows Score
Standard K-Means Clusters,0.07722929078192003,0.0583928970051838,0.5455825401374832
Standard EM Clusters,-0.00022376645882724692,-0.00019343502687957137,0.5394943675809031
PCA K-Means Clusters,0.08042715095488778,0.061052686085530015,0.5478291221024763
PCA EM Clusters,0.08890220996331805,0.07082130269939418,0.5609315486569277
ICA K-Means Clusters,0.4451191301137117,0.37979138840064414,0.7286425588336793
ICA EM Clusters,0.08481530897537208,0.07145106824348083,0.5692083704899846
RFE K-Means Clusters,0.6776116976121491,0.6052761829128511,0.840392501017872
RFE EM Clusters,0.6376688989607041,0.5801088172818624,0.8216833435911826
GRP K-Means Clusters 0,0.6776116976121491,0.6052761829128511,0.840392501017872
GRP EM Clusters 0,0.6376688989607041,0.5801088172818624,0.8216833435911826
GRP K-Means Clusters 1,0.6776116976121491,0.6052761829128511,0.840392501017872
GRP EM Clusters 1,0.6376688989607041,0.5801088172818624,0.8216833435911826
GRP K-Means Clusters 2,0.6776116976121491,0.6052761829128511,0.840392501017872
GRP EM Clusters 2,0.6376688989607041,0.5801088172818624,0.8216833435911826
GRP K-Means Clusters 3,0.6776116976121491,0.6052761829128511,0.840392501017872
GRP EM Clusters 3,0.6376688989607041,0.5801088172818624,0.8216833435911826
GRP K-Means Clusters 4,0.6776116976121491,0.6052761829128511,0.840392501017872
GRP EM Clusters 4,0.6376688989607041,0.5801088172818624,0.8216833435911826
GRP K-Means Clusters 5,0.6776116976121491,0.6052761829128511,0.840392501017872
GRP EM Clusters 5,0.6376688989607041,0.5801088172818624,0.8216833435911826
GRP K-Means Clusters 6,0.6776116976121491,0.6052761829128511,0.840392501017872
GRP EM Clusters 6,0.6376688989607041,0.5801088172818624,0.8216833435911826
GRP K-Means Clusters 7,0.6776116976121491,0.6052761829128511,0.840392501017872
GRP EM Clusters 7,0.6376688989607041,0.5801088172818624,0.8216833435911826
GRP K-Means Clusters 8,0.6776116976121491,0.6052761829128511,0.840392501017872
GRP EM Clusters 8,0.6376688989607041,0.5801088172818624,0.8216833435911826
GRP K-Means Clusters 9,0.6776116976121491,0.6052761829128511,0.840392501017872
GRP EM Clusters 9,0.6376688989607041,0.5801088172818624,0.8216833435911826
GRP K-Means Clusters 10,0.6776116976121491,0.6052761829128511,0.840392501017872
GRP EM Clusters 10,0.6376688989607041,0.5801088172818624,0.8216833435911826
GRP K-Means Clusters 11,0.6776116976121491,0.6052761829128511,0.840392501017872
GRP EM Clusters 11,0.6376688989607041,0.5801088172818624,0.8216833435911826
GRP K-Means Clusters 12,0.6776116976121491,0.6052761829128511,0.840392501017872
GRP EM Clusters 12,0.6376688989607041,0.5801088172818624,0.8216833435911826
GRP K-Means Clusters 13,0.6776116976121491,0.6052761829128511,0.840392501017872
GRP EM Clusters 13,0.6376688989607041,0.5801088172818624,0.8216833435911826
GRP K-Means Clusters 14,0.6776116976121491,0.6052761829128511,0.840392501017872
GRP EM Clusters 14,0.6376688989607041,0.5801088172818624,0.8216833435911826
GRP K-Means Clusters 15,0.6776116976121491,0.6052761829128511,0.840392501017872
GRP EM Clusters 15,0.6376688989607041,0.5801088172818624,0.8216833435911826
GRP K-Means Clusters 16,0.6776116976121491,0.6052761829128511,0.840392501017872
GRP EM Clusters 16,0.6376688989607041,0.5801088172818624,0.8216833435911826
GRP K-Means Clusters 17,0.6776116976121491,0.6052761829128511,0.840392501017872
GRP EM Clusters 17,0.6376688989607041,0.5801088172818624,0.8216833435911826
GRP K-Means Clusters 18,0.6776116976121491,0.6052761829128511,0.840392501017872
GRP EM Clusters 18,0.6376688989607041,0.5801088172818624,0.8216833435911826
GRP K-Means Clusters 19,0.6776116976121491,0.6052761829128511,0.840392501017872
GRP EM Clusters 19,0.6376688989607041,0.5801088172818624,0.8216833435911826
Standard K-Means Clusters,0.07722929078192003,0.0583928970051838,0.5455825401374832
Standard EM Clusters,-0.00022376645882724692,-0.00019343502687957137,0.5394943675809031
Standard K-Means Clusters,0.07722929078192003,0.0583928970051838,0.5455825401374832
Standard EM Clusters,-0.00022376645882724692,-0.00019343502687957137,0.5394943675809031
Standard K-Means Clusters,0.07722929078192003,0.0583928970051838,0.5455825401374832
Standard EM Clusters,-0.00022376645882724692,-0.00019343502687957137,0.5394943675809031
Standard K-Means Clusters,0.07722929078192003,0.0583928970051838,0.5455825401374832
Standard EM Clusters,-0.00022376645882724692,-0.00019343502687957137,0.5394943675809031
Standard K-Means Clusters,0.07722929078192003,0.0583928970051838,0.5455825401374832
Standard EM Clusters,-0.00022376645882724692,-0.00019343502687957137,0.5394943675809031
Standard K-Means Clusters,0.07722929078192003,0.0583928970051838,0.5455825401374832
Standard EM Clusters,-0.00022376645882724692,-0.00019343502687957137,0.5394943675809031
Standard K-Means Clusters,0.07722929078192003,0.0583928970051838,0.5455825401374832
Standard EM Clusters,-0.00022376645882724692,-0.00019343502687957137,0.5394943675809031
Standard K-Means Clusters,0.07722929078192003,0.0583928970051838,0.5455825401374832
Standard EM Clusters,-0.00022376645882724692,-0.00019343502687957137,0.5394943675809031
Standard K-Means Clusters,0.07722929078192003,0.0583928970051838,0.5455825401374832
Standard EM Clusters,-0.00022376645882724692,-0.00019343502687957137,0.5394943675809031
